fare,passengers,percentSurvived
0.0,6,0.0
9.69,1,0.0
10.5,35,34.29
10.71,1,0.0
11.5,6,0.0
12.0,1,100.0
12.28,1,0.0
12.35,5,40.0
12.52,1,0.0
12.65,1,100.0
12.74,1,100.0
12.88,2,0.0
13.0,59,28.81
13.5,7,28.57
13.79,1,100.0
13.86,5,100.0
14.0,1,0.0
14.5,2,100.0
15.0,1,0.0
15.03,1,0.0
15.05,4,0.0
15.58,1,0.0
15.75,2,100.0
16.0,2,50.0
18.75,3,100.0
19.5,2,100.0
21.0,14,35.71
23.0,7,100.0
24.0,2,50.0
26.0,42,42.86
26.25,6,66.67
27.0,2,50.0
27.72,2,50.0
27.75,4,75.0
29.0,3,100.0
30.0,2,100.0
30.07,2,50.0
31.5,3,0.0
32.5,3,66.67
33.0,3,66.67
36.75,4,75.0
37.0,3,66.67
39.0,7,85.71
41.58,4,75.0
65.0,5,60.0
73.5,7,0.0
