fare,passengers,percentSurvived
0.0,7,14.29
5.0,1,0.0
25.59,1,0.0
25.7,1,100.0
25.74,1,100.0
25.92,1,0.0
25.93,2,100.0
26.0,8,12.5
26.28,1,100.0
26.29,3,100.0
26.39,1,100.0
26.55,22,45.45
27.45,1,100.0
27.72,9,55.56
27.75,1,0.0
28.5,2,50.0
28.54,1,100.0
28.71,1,0.0
29.7,5,40.0
30.0,5,80.0
30.5,6,66.67
30.7,2,0.0
31.0,3,66.67
31.68,2,50.0
32.32,1,0.0
33.5,1,0.0
34.02,1,0.0
34.65,1,0.0
35.0,1,0.0
35.5,4,75.0
38.5,1,0.0
39.4,2,100.0
39.6,3,66.67
40.12,1,0.0
42.4,2,0.0
42.5,1,0.0
45.5,1,0.0
47.1,2,0.0
49.5,3,66.67
50.0,2,0.0
50.5,2,0.0
51.48,2,100.0
51.86,4,25.0
52.0,8,50.0
52.55,4,100.0
53.1,6,66.67
55.0,2,100.0
55.44,4,100.0
55.9,2,50.0
56.93,2,100.0
57.0,2,100.0
57.75,2,100.0
57.98,2,100.0
59.4,4,75.0
60.0,2,50.0
61.18,2,50.0
61.38,2,50.0
61.98,2,50.0
63.36,2,100.0
66.6,2,50.0
69.3,2,100.0
71.0,2,50.0
71.28,2,50.0
75.24,2,0.0
75.25,2,50.0
76.29,2,100.0
76.73,3,100.0
77.29,2,0.0
77.96,3,100.0
78.27,2,100.0
78.85,3,66.67
79.2,6,50.0
79.65,3,66.67
80.0,2,100.0
81.86,3,100.0
82.17,2,50.0
82.27,2,100.0
83.16,6,83.33
83.48,2,50.0
86.5,3,100.0
89.1,2,100.0
90.0,5,80.0
91.08,2,100.0
93.5,4,50.0
106.42,3,66.67
108.9,3,66.67
110.88,4,75.0
113.28,3,66.67
120.0,4,100.0
133.65,2,100.0
134.5,5,100.0
135.63,4,75.0
136.78,2,50.0
146.52,3,66.67
151.55,6,50.0
153.46,3,66.67
164.87,4,75.0
211.34,4,100.0
211.5,5,40.0
221.78,4,25.0
227.52,5,60.0
247.52,3,66.67
262.38,7,85.71
263.0,6,66.67
512.33,4,100.0
